JeffCoFacilityID,UniqueID,SchoolName,SystemCategory,AssetType,PriorityScore,ConditionSource,Unit,UnitValue,ReplacementCost,Location,Building,System,ID,Priority,Date of New Deficiency Created or Existing Modified,New RSMeans Deficiency Description,Deficiency (Scope Of Work),Qty,UoM,Cost with Inflation Factor
150,CO-1420-7708,Secrest ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
151,CO-1420-7753,Semper ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
152,CO-1420-7780,Shaffer ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
153,CO-1420-7833,Shelton ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
SOLD-3,CO-1420-4478,Sheridan Green Elementary,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
154,CO-1420-7870,Sierra ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
155,CO-1420-7962,Slater ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
504,CO-1420-8036,Sobesky Academy,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
156,CO-1420-8102,South Lakewood ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
316,CO-1420-8209,Standley Lake HS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
157,CO-1420-8223,Stevens ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
158,CO-1420-8276,Stober ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
159,CO-1420-8280,Stony Creek ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
160,CO-1420-8300,Stott ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
216,CO-1420-8381,Summit Ridge MS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
161,CO-1420-8432,Swanson ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
SOLD-4,CO-1420-8834,Thomson Elementary,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
511,CO-1420-8856,Three Creeks K-8,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
,CO-1420-8793,Two Roads Charter School,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
162,CO-1420-9008,Ute Meadows ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
163,CO-1420-9052,Van Arsdale ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
164,CO-1420-9058,Vanderhoof ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
165,CO-1420-9232,Warder ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
